01 01 2121 8140 A1A1 E38080 3000   　
01 02 2122 8141 A1A2 E38081 3001   、
01 03 2123 8142 A1A3 E38082 3002   。
01 04 2124 8143 A1A4 EFBC8C FF0C   ，
01 05 2125 8144 A1A5 EFBC8E FF0E   ．
01 06 2126 8145 A1A6 E383BB 30FB   ・
01 07 2127 8146 A1A7 EFBC9A FF1A   ：
01 08 2128 8147 A1A8 EFBC9B FF1B   ；
01 09 2129 8148 A1A9 EFBC9F FF1F   ？
01 10 212A 8149 A1AA EFBC81 FF01   ！
01 11 212B 814A A1AB E3829B 309B   ゛
01 12 212C 814B A1AC E3829C 309C   ゜
01 13 212D 814C A1AD C2B4   00B4   ´
01 14 212E 814D A1AE EFBD80 FF40   ｀
01 15 212F 814E A1AF C2A8   00A8   ¨
01 16 2130 814F A1B0 EFBCBE FF3E   ＾
01 17 2131 8150 A1B1 EFBFA3 FFE3   ￣
01 18 2132 8151 A1B2 EFBCBF FF3F   ＿
01 19 2133 8152 A1B3 E383BD 30FD   ヽ
01 20 2134 8153 A1B4 E383BE 30FE   ヾ
01 21 2135 8154 A1B5 E3829D 309D   ゝ
01 22 2136 8155 A1B6 E3829E 309E   ゞ
01 23 2137 8156 A1B7 E38083 3003   〃
01 24 2138 8157 A1B8 E4BB9D 4EDD   仝
01 25 2139 8158 A1B9 E38085 3005   々
01 26 213A 8159 A1BA E38086 3006   〆
01 27 213B 815A A1BB E38087 3007   〇
01 28 213C 815B A1BC E383BC 30FC   ー
01 29 213D 815C A1BD E28095 2015   ―
01 30 213E 815D A1BE E28090 2010   ‐
01 31 213F 815E A1BF EFBC8F FF0F   ／
01 32 2140 815F A1C0 5C     005C   ＼
01 33 2141 8160 A1C1 E3809C 301C   ～
01 34 2142 8161 A1C2 E28096 2016   ∥
01 35 2143 8162 A1C3 EFBD9C FF5C   ｜
01 36 2144 8163 A1C4 E280A6 2026   …
01 37 2145 8164 A1C5 E280A5 2025   ‥
01 38 2146 8165 A1C6 E28098 2018   ‘
01 39 2147 8166 A1C7 E28099 2019   ’
01 40 2148 8167 A1C8 E2809C 201C   “
01 41 2149 8168 A1C9 E2809D 201D   ”
01 42 214A 8169 A1CA EFBC88 FF08   （
01 43 214B 816A A1CB EFBC89 FF09   ）
01 44 214C 816B A1CC E38094 3014   〔
01 45 214D 816C A1CD E38095 3015   〕
01 46 214E 816D A1CE EFBCBB FF3B   ［
01 47 214F 816E A1CF EFBCBD FF3D   ］
01 48 2150 816F A1D0 EFBD9B FF5B   ｛
01 49 2151 8170 A1D1 EFBD9D FF5D   ｝
01 50 2152 8171 A1D2 E38088 3008   〈
01 51 2153 8172 A1D3 E38089 3009   〉
01 52 2154 8173 A1D4 E3808A 300A   《
01 53 2155 8174 A1D5 E3808B 300B   》
01 54 2156 8175 A1D6 E3808C 300C   「
01 55 2157 8176 A1D7 E3808D 300D   」
01 56 2158 8177 A1D8 E3808E 300E   『
01 57 2159 8178 A1D9 E3808F 300F   』
01 58 215A 8179 A1DA E38090 3010   【
01 59 215B 817A A1DB E38091 3011   】
01 60 215C 817B A1DC EFBC8B FF0B   ＋
01 61 215D 817C A1DD E28892 2212   －
01 62 215E 817D A1DE C2B1   00B1   ±
01 63 215F 817E A1DF C397   00D7   ×
01 64 2160 8180 A1E0 C3B7   00F7   ÷
01 65 2161 8181 A1E1 EFBC9D FF1D   ＝
01 66 2162 8182 A1E2 E289A0 2260   ≠
01 67 2163 8183 A1E3 EFBC9C FF1C   ＜
01 68 2164 8184 A1E4 EFBC9E FF1E   ＞
01 69 2165 8185 A1E5 E289A6 2266   ≦
01 70 2166 8186 A1E6 E289A7 2267   ≧
01 71 2167 8187 A1E7 E2889E 221E   ∞
01 72 2168 8188 A1E8 E288B4 2234   ∴
01 73 2169 8189 A1E9 E29982 2642   ♂
01 74 216A 818A A1EA E29980 2640   ♀
01 75 216B 818B A1EB C2B0   00B0   °
01 76 216C 818C A1EC E280B2 2032   ′
01 77 216D 818D A1ED E280B3 2033   ″
01 78 216E 818E A1EE E28483 2103   ℃
01 79 216F 818F A1EF EFBFA5 FFE5   ￥
01 80 2170 8190 A1F0 EFBC84 FF04   ＄
01 81 2171 8191 A1F1 C2A2   00A2   ￠
01 82 2172 8192 A1F2 C2A3   00A3   ￡
01 83 2173 8193 A1F3 EFBC85 FF05   ％
01 84 2174 8194 A1F4 EFBC83 FF03   ＃
01 85 2175 8195 A1F5 EFBC86 FF06   ＆
01 86 2176 8196 A1F6 EFBC8A FF0A   ＊
01 87 2177 8197 A1F7 EFBCA0 FF20   ＠
01 88 2178 8198 A1F8 C2A7   00A7   §
01 89 2179 8199 A1F9 E29886 2606   ☆
01 90 217A 819A A1FA E29885 2605   ★
01 91 217B 819B A1FB E2978B 25CB   ○
01 92 217C 819C A1FC E2978F 25CF   ●
01 93 217D 819D A1FD E2978E 25CE   ◎
01 94 217E 819E A1FE E29787 25C7   ◇
区 点 JIS  SJIS EUC  UTF-8  UTF-16 字
02 01 2221 819F A2A1 E29786 25C6   ◆
02 02 2222 81A0 A2A2 E296A1 25A1   □
02 03 2223 81A1 A2A3 E296A0 25A0   ■
02 04 2224 81A2 A2A4 E296B3 25B3   △
02 05 2225 81A3 A2A5 E296B2 25B2   ▲
02 06 2226 81A4 A2A6 E296BD 25BD   ▽
02 07 2227 81A5 A2A7 E296BC 25BC   ▼
02 08 2228 81A6 A2A8 E280BB 203B   ※
02 09 2229 81A7 A2A9 E38092 3012   〒
02 10 222A 81A8 A2AA E28692 2192   →
02 11 222B 81A9 A2AB E28690 2190   ←
02 12 222C 81AA A2AC E28691 2191   ↑
02 13 222D 81AB A2AD E28693 2193   ↓
02 14 222E 81AC A2AE E38093 3013   〓
02 15 222F 81AD A2AF ------ ------ �
02 16 2230 81AE A2B0 ------ ------ �
02 17 2231 81AF A2B1 ------ ------ �
02 18 2232 81B0 A2B2 ------ ------ �
02 19 2233 81B1 A2B3 ------ ------ �
02 20 2234 81B2 A2B4 ------ ------ �
02 21 2235 81B3 A2B5 ------ ------ �
02 22 2236 81B4 A2B6 ------ ------ �
02 23 2237 81B5 A2B7 ------ ------ �
02 24 2238 81B6 A2B8 ------ ------ �
02 25 2239 81B7 A2B9 ------ ------ �
02 26 223A 81B8 A2BA E28888 2208   ∈
02 27 223B 81B9 A2BB E2888B 220B   ∋
02 28 223C 81BA A2BC E28A86 2286   ⊆
02 29 223D 81BB A2BD E28A87 2287   ⊇
02 30 223E 81BC A2BE E28A82 2282   ⊂
02 31 223F 81BD A2BF E28A83 2283   ⊃
02 32 2240 81BE A2C0 E288AA 222A   ∪
02 33 2241 81BF A2C1 E288A9 2229   ∩
02 34 2242 81C0 A2C2 ------ ------ �
02 35 2243 81C1 A2C3 ------ ------ �
02 36 2244 81C2 A2C4 ------ ------ �
02 37 2245 81C3 A2C5 ------ ------ �
02 38 2246 81C4 A2C6 ------ ------ �
02 39 2247 81C5 A2C7 ------ ------ �
02 40 2248 81C6 A2C8 ------ ------ �
02 41 2249 81C7 A2C9 ------ ------ �
02 42 224A 81C8 A2CA E288A7 2227   ∧
02 43 224B 81C9 A2CB E288A8 2228   ∨
02 44 224C 81CA A2CC C2AC   00AC   ￢
02 45 224D 81CB A2CD E28792 21D2   ⇒
02 46 224E 81CC A2CE E28794 21D4   ⇔
02 47 224F 81CD A2CF E28880 2200   ∀
02 48 2250 81CE A2D0 E28883 2203   ∃
02 49 2251 81CF A2D1 ------ ------ �
02 50 2252 81D0 A2D2 ------ ------ �
02 51 2253 81D1 A2D3 ------ ------ �
02 52 2254 81D2 A2D4 ------ ------ �
02 53 2255 81D3 A2D5 ------ ------ �
02 54 2256 81D4 A2D6 ------ ------ �
02 55 2257 81D5 A2D7 ------ ------ �
02 56 2258 81D6 A2D8 ------ ------ �
02 57 2259 81D7 A2D9 ------ ------ �
02 58 225A 81D8 A2DA ------ ------ �
02 59 225B 81D9 A2DB ------ ------ �
02 60 225C 81DA A2DC E288A0 2220   ∠
02 61 225D 81DB A2DD E28AA5 22A5   ⊥
02 62 225E 81DC A2DE E28C92 2312   ⌒
02 63 225F 81DD A2DF E28882 2202   ∂
02 64 2260 81DE A2E0 E28887 2207   ∇
02 65 2261 81DF A2E1 E289A1 2261   ≡
02 66 2262 81E0 A2E2 E28992 2252   ≒
02 67 2263 81E1 A2E3 E289AA 226A   ≪
02 68 2264 81E2 A2E4 E289AB 226B   ≫
02 69 2265 81E3 A2E5 E2889A 221A   √
02 70 2266 81E4 A2E6 E288BD 223D   ∽
02 71 2267 81E5 A2E7 E2889D 221D   ∝
02 72 2268 81E6 A2E8 E288B5 2235   ∵
02 73 2269 81E7 A2E9 E288AB 222B   ∫
02 74 226A 81E8 A2EA E288AC 222C   ∬
02 75 226B 81E9 A2EB ------ ------ �
02 76 226C 81EA A2EC ------ ------ �
02 77 226D 81EB A2ED ------ ------ �
02 78 226E 81EC A2EE ------ ------ �
02 79 226F 81ED A2EF ------ ------ �
02 80 2270 81EE A2F0 ------ ------ �
02 81 2271 81EF A2F1 ------ ------ �
02 82 2272 81F0 A2F2 E284AB 212B   Å
02 83 2273 81F1 A2F3 E280B0 2030   ‰
02 84 2274 81F2 A2F4 E299AF 266F   ♯
02 85 2275 81F3 A2F5 E299AD 266D   ♭
02 86 2276 81F4 A2F6 E299AA 266A   ♪
02 87 2277 81F5 A2F7 E280A0 2020   †
02 88 2278 81F6 A2F8 E280A1 2021   ‡
02 89 2279 81F7 A2F9 C2B6   00B6   ¶
02 90 227A 81F8 A2FA ------ ------ �
02 91 227B 81F9 A2FB ------ ------ �
02 92 227C 81FA A2FC ------ ------ �
02 93 227D 81FB A2FD ------ ------ �
02 94 227E 81FC A2FE E297AF 25EF   ◯
区 点 JIS  SJIS EUC  UTF-8  UTF-16 字
03 01 2321 8240 A3A1 ------ ------ �
03 02 2322 8241 A3A2 ------ ------ �
03 03 2323 8242 A3A3 ------ ------ �
03 04 2324 8243 A3A4 ------ ------ �
03 05 2325 8244 A3A5 ------ ------ �
03 06 2326 8245 A3A6 ------ ------ �
03 07 2327 8246 A3A7 ------ ------ �
03 08 2328 8247 A3A8 ------ ------ �
03 09 2329 8248 A3A9 ------ ------ �
03 10 232A 8249 A3AA ------ ------ �
03 11 232B 824A A3AB ------ ------ �
03 12 232C 824B A3AC ------ ------ �
03 13 232D 824C A3AD ------ ------ �
03 14 232E 824D A3AE ------ ------ �
03 15 232F 824E A3AF ------ ------ �
03 16 2330 824F A3B0 EFBC90 FF10   ０
03 17 2331 8250 A3B1 EFBC91 FF11   １
03 18 2332 8251 A3B2 EFBC92 FF12   ２
03 19 2333 8252 A3B3 EFBC93 FF13   ３
03 20 2334 8253 A3B4 EFBC94 FF14   ４
03 21 2335 8254 A3B5 EFBC95 FF15   ５
03 22 2336 8255 A3B6 EFBC96 FF16   ６
03 23 2337 8256 A3B7 EFBC97 FF17   ７
03 24 2338 8257 A3B8 EFBC98 FF18   ８
03 25 2339 8258 A3B9 EFBC99 FF19   ９
03 26 233A 8259 A3BA ------ ------ �
03 27 233B 825A A3BB ------ ------ �
03 28 233C 825B A3BC ------ ------ �
03 29 233D 825C A3BD ------ ------ �
03 30 233E 825D A3BE ------ ------ �
03 31 233F 825E A3BF ------ ------ �
03 32 2340 825F A3C0 ------ ------ �
03 33 2341 8260 A3C1 EFBCA1 FF21   Ａ
03 34 2342 8261 A3C2 EFBCA2 FF22   Ｂ
03 35 2343 8262 A3C3 EFBCA3 FF23   Ｃ
03 36 2344 8263 A3C4 EFBCA4 FF24   Ｄ
03 37 2345 8264 A3C5 EFBCA5 FF25   Ｅ
03 38 2346 8265 A3C6 EFBCA6 FF26   Ｆ
03 39 2347 8266 A3C7 EFBCA7 FF27   Ｇ
03 40 2348 8267 A3C8 EFBCA8 FF28   Ｈ
03 41 2349 8268 A3C9 EFBCA9 FF29   Ｉ
03 42 234A 8269 A3CA EFBCAA FF2A   Ｊ
03 43 234B 826A A3CB EFBCAB FF2B   Ｋ
03 44 234C 826B A3CC EFBCAC FF2C   Ｌ
03 45 234D 826C A3CD EFBCAD FF2D   Ｍ
03 46 234E 826D A3CE EFBCAE FF2E   Ｎ
03 47 234F 826E A3CF EFBCAF FF2F   Ｏ
03 48 2350 826F A3D0 EFBCB0 FF30   Ｐ
03 49 2351 8270 A3D1 EFBCB1 FF31   Ｑ
03 50 2352 8271 A3D2 EFBCB2 FF32   Ｒ
03 51 2353 8272 A3D3 EFBCB3 FF33   Ｓ
03 52 2354 8273 A3D4 EFBCB4 FF34   Ｔ
03 53 2355 8274 A3D5 EFBCB5 FF35   Ｕ
03 54 2356 8275 A3D6 EFBCB6 FF36   Ｖ
03 55 2357 8276 A3D7 EFBCB7 FF37   Ｗ
03 56 2358 8277 A3D8 EFBCB8 FF38   Ｘ
03 57 2359 8278 A3D9 EFBCB9 FF39   Ｙ
03 58 235A 8279 A3DA EFBCBA FF3A   Ｚ
03 59 235B 827A A3DB ------ ------ �
03 60 235C 827B A3DC ------ ------ �
03 61 235D 827C A3DD ------ ------ �
03 62 235E 827D A3DE ------ ------ �
03 63 235F 827E A3DF ------ ------ �
03 64 2360 8280 A3E0 ------ ------ �
03 65 2361 8281 A3E1 EFBD81 FF41   ａ
03 66 2362 8282 A3E2 EFBD82 FF42   ｂ
03 67 2363 8283 A3E3 EFBD83 FF43   ｃ
03 68 2364 8284 A3E4 EFBD84 FF44   ｄ
03 69 2365 8285 A3E5 EFBD85 FF45   ｅ
03 70 2366 8286 A3E6 EFBD86 FF46   ｆ
03 71 2367 8287 A3E7 EFBD87 FF47   ｇ
03 72 2368 8288 A3E8 EFBD88 FF48   ｈ
03 73 2369 8289 A3E9 EFBD89 FF49   ｉ
03 74 236A 828A A3EA EFBD8A FF4A   ｊ
03 75 236B 828B A3EB EFBD8B FF4B   ｋ
03 76 236C 828C A3EC EFBD8C FF4C   ｌ
03 77 236D 828D A3ED EFBD8D FF4D   ｍ
03 78 236E 828E A3EE EFBD8E FF4E   ｎ
03 79 236F 828F A3EF EFBD8F FF4F   ｏ
03 80 2370 8290 A3F0 EFBD90 FF50   ｐ
03 81 2371 8291 A3F1 EFBD91 FF51   ｑ
03 82 2372 8292 A3F2 EFBD92 FF52   ｒ
03 83 2373 8293 A3F3 EFBD93 FF53   ｓ
03 84 2374 8294 A3F4 EFBD94 FF54   ｔ
03 85 2375 8295 A3F5 EFBD95 FF55   ｕ
03 86 2376 8296 A3F6 EFBD96 FF56   ｖ
03 87 2377 8297 A3F7 EFBD97 FF57   ｗ
03 88 2378 8298 A3F8 EFBD98 FF58   ｘ
03 89 2379 8299 A3F9 EFBD99 FF59   ｙ
03 90 237A 829A A3FA EFBD9A FF5A   ｚ
03 91 237B 829B A3FB ------ ------ �
03 92 237C 829C A3FC ------ ------ �
03 93 237D 829D A3FD ------ ------ �
03 94 237E 829E A3FE ------ ------ �
区 点 JIS  SJIS EUC  UTF-8  UTF-16 字
04 01 2421 829F A4A1 E38181 3041   ぁ
04 02 2422 82A0 A4A2 E38182 3042   あ
04 03 2423 82A1 A4A3 E38183 3043   ぃ
04 04 2424 82A2 A4A4 E38184 3044   い
04 05 2425 82A3 A4A5 E38185 3045   ぅ
04 06 2426 82A4 A4A6 E38186 3046   う
04 07 2427 82A5 A4A7 E38187 3047   ぇ
04 08 2428 82A6 A4A8 E38188 3048   え
04 09 2429 82A7 A4A9 E38189 3049   ぉ
04 10 242A 82A8 A4AA E3818A 304A   お
04 11 242B 82A9 A4AB E3818B 304B   か
04 12 242C 82AA A4AC E3818C 304C   が
04 13 242D 82AB A4AD E3818D 304D   き
04 14 242E 82AC A4AE E3818E 304E   ぎ
04 15 242F 82AD A4AF E3818F 304F   く
04 16 2430 82AE A4B0 E38190 3050   ぐ
04 17 2431 82AF A4B1 E38191 3051   け
04 18 2432 82B0 A4B2 E38192 3052   げ
04 19 2433 82B1 A4B3 E38193 3053   こ
04 20 2434 82B2 A4B4 E38194 3054   ご
04 21 2435 82B3 A4B5 E38195 3055   さ
04 22 2436 82B4 A4B6 E38196 3056   ざ
04 23 2437 82B5 A4B7 E38197 3057   し
04 24 2438 82B6 A4B8 E38198 3058   じ
04 25 2439 82B7 A4B9 E38199 3059   す
04 26 243A 82B8 A4BA E3819A 305A   ず
04 27 243B 82B9 A4BB E3819B 305B   せ
04 28 243C 82BA A4BC E3819C 305C   ぜ
04 29 243D 82BB A4BD E3819D 305D   そ
04 30 243E 82BC A4BE E3819E 305E   ぞ
04 31 243F 82BD A4BF E3819F 305F   た
04 32 2440 82BE A4C0 E381A0 3060   だ
04 33 2441 82BF A4C1 E381A1 3061   ち
04 34 2442 82C0 A4C2 E381A2 3062   ぢ
04 35 2443 82C1 A4C3 E381A3 3063   っ
04 36 2444 82C2 A4C4 E381A4 3064   つ
04 37 2445 82C3 A4C5 E381A5 3065   づ
04 38 2446 82C4 A4C6 E381A6 3066   て
04 39 2447 82C5 A4C7 E381A7 3067   で
04 40 2448 82C6 A4C8 E381A8 3068   と
04 41 2449 82C7 A4C9 E381A9 3069   ど
04 42 244A 82C8 A4CA E381AA 306A   な
04 43 244B 82C9 A4CB E381AB 306B   に
04 44 244C 82CA A4CC E381AC 306C   ぬ
04 45 244D 82CB A4CD E381AD 306D   ね
04 46 244E 82CC A4CE E381AE 306E   の
04 47 244F 82CD A4CF E381AF 306F   は
04 48 2450 82CE A4D0 E381B0 3070   ば
04 49 2451 82CF A4D1 E381B1 3071   ぱ
04 50 2452 82D0 A4D2 E381B2 3072   ひ
04 51 2453 82D1 A4D3 E381B3 3073   び
04 52 2454 82D2 A4D4 E381B4 3074   ぴ
04 53 2455 82D3 A4D5 E381B5 3075   ふ
04 54 2456 82D4 A4D6 E381B6 3076   ぶ
04 55 2457 82D5 A4D7 E381B7 3077   ぷ
04 56 2458 82D6 A4D8 E381B8 3078   へ
04 57 2459 82D7 A4D9 E381B9 3079   べ
04 58 245A 82D8 A4DA E381BA 307A   ぺ
04 59 245B 82D9 A4DB E381BB 307B   ほ
04 60 245C 82DA A4DC E381BC 307C   ぼ
04 61 245D 82DB A4DD E381BD 307D   ぽ
04 62 245E 82DC A4DE E381BE 307E   ま
04 63 245F 82DD A4DF E381BF 307F   み
04 64 2460 82DE A4E0 E38280 3080   む
04 65 2461 82DF A4E1 E38281 3081   め
